Styles,Origin,Derived From,Balance of hard and soft techniques,Stances,Representative Kata,Number of kata
Chitō-ryū,Okinawa,Shōrei-ryū or Naha-te  Shōrin-ryū,both elements exist but more soft than hard,natural,Shi Ho Hai  Seisan  Ro Hai Sho  Niseishi  Bassai  Chinto  Sochin  Tenshin  Ro Hai Dai  Sanshiryu  Ryushan  Kusanku  Sanchin,15 kata not including kihon and Bo kihon/kata
Gōjū-ryū,Okinawa,Fujian White Crane and Naha-te.,both,deep/natural,Sanchin  Tensho  Gekisai Dai/Sho  Seipai  Saifa  Suparinpei,12
Gosoku-ryū,Japan,Gōjū-ryū  Shotokan,both,deep (beginner)  natural (advanced),Gosoku  Rikyu  Denko Getsu  Tamashi,46 including weapons kata
Isshin-ryū,Okinawa,Gōjū-ryū  Shōrin-ryū  Kobudō,both  fast & hard,natural,Seisan  Naihanchi  Wansu  Passai  Chinto  Kusanku  Seiunchin  Sanchin  Sunsu,15 including weapons kata
Kyokushin,Japan,Shotokan  Gōjū-ryū,extremely hard,natural,Taikyoku  Pinan  Kanku  Sanchin  Tensho  Garyu,23 (+ 8 ura kata)
Shūkōkai,Japan,Gōjū-ryū & Shitō-ryū,60% hard  40% soft,natural,Pinan  Bassai Dai  Seienchin  Saifa  Rōhai,44
Shindō jinen-ryū,Japan and Okinawa,primarily Shuri-te like Shitō-ryū  but also Naha-te and Tomari-te,both,deep/natural,Shimpa  Taisabaki 1-3  Sunakake no Kon,More than 60 counting all kobudo kata
Shitō-ryū,Japan and Okinawa,Shuri-te and Naha-te,both,deep/natural,Pinan  Bassai Dai  Seienchin  Saifa  Rōhai  Nipaipo,94
Shōrin-ryū,Okinawa,Shuri-te  Tomari-te  Chinese martial arts,both  primarily fast & hard,natural,Fukyu  Pinan  Naihanchi  passai  kanku  seisan,21
Shotokan,Japan,Shōrin-ryū and Shōrei-ryū,70% hard  30% soft/fast,deep (beginner)  longer (advanced),3 Taikyoku  5 Heian  3 Tekki  Jion  Kanku Dai  Bassai Dai  Empi  Sochin,26
Shuri-ryū,Okinawa,Shuri-te  Hsing-yi,both,deep/natural,Wunsu  O-Naihanchi  Sanchin,15
Uechi-ryū,Okinawa,Pangai-noon Kung Fu  Naha-te,half-hard  half-soft,mainly natural,Sanchin  Seisan  Sanseirui,8
Wadō-ryū,Japan and Okinawa,Shindō Yōshin-ryū Jujutsu  Tomari-te and Shotokan,both  primarily soft,mainly natural,Pinan  Kushanku  Seishan  Chintō  Naihanchi  Jion  Wanshu  Jitte and Niseishi[5],15
Yōshūkai,Japan and Okinawa,Chitō-ryū,60% hard  40% soft,deep (beginner)  natural (advanced),Seisan  Sochin  Tenshin  Bassai (core katas),18
